"field_date","site_reach","site","reach","mat_sampled","ATX_all_ug_afdm_g","ATX_all_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","per_org_matter"
2023-09-24,"SFE-M-2","SFE-M","2","Microcoleus",5.3253472,3.0674,2.7717,0,0.2957,0.576
2023-09-24,"SFE-M-3","SFE-M","3","Microcoleus",7.4184211,5.638,5.312,0,0.326,0.76
2023-09-24,"SFE-M-4","SFE-M","4","Microcoleus",0.1655738,0.101,0.101,0,0,0.61
2024-06-19,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.76
2024-06-19,"SFE-M-4","SFE-M","4","Microcoleus",0,0,0,0,0,0.7353
2024-07-02,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.5929
2024-07-02,"SFE-M-2","SFE-M","2","Microcoleus",0,0,0,0,0,0.3528
2024-07-02,"SFE-M-3","SFE-M","3","Microcoleus",0,0,0,0,0,0.6055
2024-07-02,"SFE-M-4","SFE-M","4","Microcoleus",0,0,0,0,0,1
2024-07-17,"SFE-M-1S","SFE-M","1S","Microcoleus",0.0422317392338806,0.0236666666666667,0,0,0.053,0.5604
2024-07-17,"SFE-M-2","SFE-M","2","Microcoleus",0,0,0,0,0,0.395
2024-07-17,"SFE-M-3","SFE-M","3","Microcoleus",0,0,0,0,0,0.6139
2024-07-17,"SFE-M-4","SFE-M","4","Microcoleus",0,0,0,0,0,0.0963
2024-07-31,"SFE-M-1S","SFE-M","1S","Anabaena",21.4868701206529,3.0275,2.71,0,0.3175,0.1409
2024-07-31,"SFE-M-1S","SFE-M","1S","Microcoleus",0.617484562885928,0.38,0.602,0,0.0995,0.6154
2024-07-31,"SFE-M-2","SFE-M","2","Anabaena",11.063733272851,4.878,3.489,0,1.389,0.4409
2024-07-31,"SFE-M-2","SFE-M","2","Microcoleus",0,0,0.363,0,0,0.0981
2024-07-31,"SFE-M-3","SFE-M","3","Anabaena",2.46866918639348,1.241,1.005,0,0.236,0.5027
2024-07-31,"SFE-M-3","SFE-M","3","Microcoleus",0.0776417949730228,0.059,0,0,0.059,0.7599
2024-07-31,"SFE-M-4","SFE-M","4","Anabaena",3.55854413491301,1.11133333333333,0.898333333333333,0,0.213666666666667,0.3123
2024-07-31,"SFE-M-4","SFE-M","4","Microcoleus",0,0,0,0,0,0.0694
2024-08-14,"SFE-M-1S","SFE-M","1S","Anabaena",1.5936018957346,0.538,0.448333333333333,0,0.0896666666666667,0.3376
2024-08-14,"SFE-M-1S","SFE-M","1S","Microcoleus",4.13214990138067,2.514,1.9825,0,0.532,0.6084
2024-08-14,"SFE-M-2","SFE-M","2","Anabaena",0,0,0.204,0.093,0,0.3194
2024-08-14,"SFE-M-2","SFE-M","2","Microcoleus",1.96949602122016,0.594,0.594,0,0,0.3016
2024-08-14,"SFE-M-3","SFE-M","3","Anabaena",0,0,0,0,0,0.204
2024-08-14,"SFE-M-3","SFE-M","3","Microcoleus",0.110084262027725,0.081,0,0,0.081,0.7358
2024-08-14,"SFE-M-4","SFE-M","4","Anabaena",19.5669291338583,1.988,1.218,0,0.77,0.1016
2024-08-14,"SFE-M-4","SFE-M","4","Microcoleus",2.53748558246828,0.88,0.614,0,0.266,0.3468
2024-08-26,"SFE-M-1S","SFE-M","1S","Anabaena",9.23725055432373,2.083,1.529,0,0.553,0.2255
2024-08-26,"SFE-M-1S","SFE-M","1S","Microcoleus",3.53133608815427,2.051,1.436,0,0.616,0.5808
2024-08-26,"SFE-M-2","SFE-M","2","Anabaena",6.40571428571429,2.242,1.424,0,0.818,0.35
2024-08-26,"SFE-M-2","SFE-M","2","Microcoleus",1.41435089174616,0.341,0.262,0,0.078,0.2411
2024-08-26,"SFE-M-3","SFE-M","3","Anabaena",14.0315699658703,6.578,4.73166666666667,0,1.846,0.4688
2024-08-26,"SFE-M-3","SFE-M","3","Microcoleus",2.36779684665829,1.697,1.23,0,0.466,0.7167
2024-08-26,"SFE-M-4","SFE-M","4","Anabaena",3.34379457917261,1.172,0.746,0,0.426,0.3505
2024-08-26,"SFE-M-4","SFE-M","4","Microcoleus",1.89621467922516,1.067,0.663,0,0.404,0.5627
2024-09-14,"SFE-M-1S","SFE-M","1S","Anabaena",0.065554231227652,0.022,0,0,0.022,0.3356
2024-09-14,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.6882
2024-09-14,"SFE-M-2","SFE-M","2","Anabaena",0.210822889342271,0.0723333333333333,0,0,0.0723333333333333,0.3431
2024-09-14,"SFE-M-2","SFE-M","2","Microcoleus",0.0539231869703973,0.0326666666666667,0,0,0.0326666666666667,0.6058
2024-09-14,"SFE-M-3","SFE-M","3","Anabaena",0.51939513477975,0.158,0,0,0.158,0.3042
2024-09-14,"SFE-M-3","SFE-M","3","Microcoleus",0.658888126286891,0.096,0,0,0.096,0.1457
2024-09-14,"SFE-M-4","SFE-M","4","Anabaena",0.0803212851405622,0.066,0,0,0.066,0.8217
2024-09-14,"SFE-M-4","SFE-M","4","Microcoleus",0.160687593423019,0.086,0,0,0.086,0.5352
2024-09-27,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.5275
2024-10-10,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.6482
