Weigh_Boat_ID,Sample ID,River,Cyano,Field Date,Tin Weight (mg),Wet sample + tin (mg),Date in drying oven,Date out  of drying oven,Dry sample + tin (mg),Date in furnace,Time in furnace,Date out of furnace,Ashed sample + tin (mg),Notes,Dry mass (mg),AFDM (mg),%OM
57,Shack,Scott,Microcoleus,8/22/24,1282.2,1577.1,8/30/24,9/4/24,1304.9,9/4/24,,9/5/24,1295.5,JLD: No time in furnace,22.7,13.3,0.4141
58,Etna,Scott,Microcoleus,8/22/24,1293.1,1680.4,8/30/24,9/4/24,1447.4,9/4/24,,9/5/24,1435.4,JLD: No time in furnace,154.3,142.3,0.0778
59,Etna Green,Scott,Microcoleus,8/22/24,1291.6,1492.7,8/30/24,9/4/24,1305.8,9/4/24,,9/5/24,1297.7,JLD: No time in furnace,14.2,6.1,0.5704
60,Black,Scott,Microcoleus,8/23/24,1288.4,1628.5,8/30/24,9/4/24,1319.6,9/4/24,,9/5/24,1312.2,JLD: No time in furnace,31.2,23.8,0.2372
61,Kid,Scott,Microcoleus,8/23/24,1290.6,1571.5,8/30/24,9/4/24,1307.6,9/4/24,,9/5/24,1298.1,JLD: No time in furnace,17,7.5,0.5588
62,Jones-4,Scott,Microcoleus,8/23/24,1286.8,1902.3,8/30/24,9/4/24,1344.9,9/4/24,,9/5/24,1339.8,JLD: No time in furnace,58.1,53,0.0878
63,Canyon,Scott,Microcoleus,8/24/24,1297.2,1628.1,8/30/24,9/4/24,1363.4,9/4/24,,9/5/24,1356.7,JLD: No time in furnace,66.2,59.5,0.1012
64,Kelsey,Scott,Microcoleus,8/24/24,1297.8,1694.4,8/30/24,9/4/24,1389.7,9/4/24,,9/5/24,1373.8,JLD: No time in furnace,91.9,76,0.173
65,Town-5,Scott,Microcoleus,8/24/24,1294.1,1968.4,8/30/24,9/4/24,1332.1,9/4/24,,9/5/24,1328.4,JLD: No time in furnace,38,34.3,0.0974
66,Mill,Scott,Microcoleus,8/24/24,1290.5,1574.5,8/30/24,9/4/24,1366,9/4/24,,9/5/24,1356.4,JLD: No time in furnace,75.5,65.9,0.1272
67,Klam-6,Scott,Microcoleus,8/25/24,1295.7,1739,8/30/24,9/4/24,1317.9,9/4/24,,9/5/24,1312,JLD: No time in furnace,22.2,16.3,0.2658
68,Eel-4S,South Fork Eel,Microcoleus,8/26/24,1290.1,1908.5,8/30/24,9/4/24,1323.5,9/4/24,,9/5/24,1304.1,JLD: No time in furnace,33.4,14,0.5808
69,Eel-BUG,South Fork Eel,Microcoleus,8/26/24,1289.7,1993.7,8/30/24,9/4/24,1376.4,9/4/24,,9/5/24,1355.5,JLD: No time in furnace,86.7,65.8,0.2411
70,Eel-3UP,South Fork Eel,Microcoleus,8/26/24,1294.2,1967.5,8/30/24,9/4/24,1317.5,9/4/24,,9/5/24,1300.8,JLD: No time in furnace,23.3,6.6,0.7167
71,Eel-2UP,South Fork Eel,Microcoleus,8/26/24,1293.2,2052.1,8/30/24,9/4/24,1329.1,9/4/24,,9/5/24,1308.9,JLD: No time in furnace,35.9,15.7,0.5627
72,Eel-4S,South Fork Eel,Anabaena,8/26/24,1295.6,1647,8/30/24,9/4/24,1305.8,9/4/24,,9/5/24,1303.5,JLD: No time in furnace,10.2,7.9,0.2255
73,Eel-BUG,South Fork Eel,Anabaena,8/26/24,1296.6,1924.1,8/30/24,9/4/24,1320.6,9/4/24,,9/5/24,1312.2,JLD: No time in furnace,24,15.6,0.35
74,Eel-3UP,South Fork Eel,Anabaena,8/26/24,1285.7,1830.8,8/30/24,9/4/24,1292.1,9/4/24,,9/5/24,1289.1,JLD: No time in furnace,6.4,3.4,0.4688
75,Eel-2UP,South Fork Eel,Anabaena,8/26/24,1296.2,1958.8,8/30/24,9/4/24,1325.3,9/4/24,,9/5/24,1315.1,JLD: No time in furnace,29.1,18.9,0.3505
76,Eel-4S,South Fork Eel,Anabaena,9/14/24,1299.6,2296.9,9/23/24,9/24/24,1342.8,9/25/24,,10/1/24,1328.3,JLD: Tin weights here don't match data sheet values. Did not make changes to online values,43.2,28.7,0.3356
77,Eel-BUG,South Fork Eel,Anabaena,9/14/24,1292.2,2308.8,9/23/24,9/24/24,1316.1,9/25/24,,10/1/24,1307.9,JLD: Tin weights here don't match data sheet values. Did not make changes to online values,23.9,15.7,0.3431
78,Eel-3UP,South Fork Eel,Anabaena,9/14/24,1286.9,2679.7,9/23/24,9/24/24,1334.9,9/25/24,,10/1/24,1320.3,JLD: Tin weights here don't match data sheet values. Did not make changes to online values,48,33.4,0.3042
79,Eel-2UP,South Fork Eel,Anabaena,9/14/24,1296.2,2127.4,9/23/24,9/24/24,1309.1,9/25/24,,10/1/24,1298.5,JLD: Tin weights here don't match data sheet values. Did not make changes to online values,12.9,2.3,0.8217
80,Eel-2UP,South Fork Eel,Microcoleus,9/14/24,1299.2,2405.4,9/23/24,9/24/24,1415.6,9/25/24,,10/1/24,1353.3,JLD: No time in furnace,116.4,54.1,0.5352
81,Eel-3UP,South Fork Eel,Microcoleus,9/14/24,1290,1982,9/23/24,9/24/24,1384.7,9/25/24,,10/1/24,1370.9,JLD: No time in furnace,94.7,80.9,0.1457
82,Eel-BUG,South Fork Eel,Microcoleus,9/14/24,1303.2,2307.5,9/23/24,9/24/24,1358,9/25/24,,10/1/24,1324.8,JLD: No time in furnace,54.8,21.6,0.6058
