ESF,Sample,Date,Type,Total_ATXs,Det_ATXs,Total_CYL,Det_CYL,Total_MCs,Det_MCs,ATX,dhATX,HTX,dhHTX,Total_ATXs2,,,,,,
25-097,Eel-2UP,8/26/2024,P,1.172,0.17,nd,0.097,nd,0.05,0.746,0.426,nd,nd,1.172,,,,,,
25-098,Black -2,9/18/2024,P,nd,0.173,nd,0.099,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-099,Etna,9/18/2024,P,nd,0.177,nd,0.101,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-100,Red-1,9/18/2024,P,nd,0.16,nd,0.091,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-101,Canyon ,9/19/2024,P,nd,0.174,nd,0.099,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-102,Mill,9/19/2024,P,nd,0.166,nd,0.095,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-103,Jones -4,9/20/2024,P,nd,0.178,nd,0.102,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-104,Kid-Down ,9/20/2024,P,0.557,0.167,nd,0.095,nd,0.05,nd,0.557,nd,nd,0.557,,,,,,
25-105,Eel-4S,7/2/2024,P,nd,0.242,nd,0.138,nd,0.07,nd,nd,nd,nd,nd,,,,,,
25-106,Eel-BUG ,7/2/2024,P,nd,0.166,nd,0.095,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-107,Eel-BUG EXT 2 ,7/2/2024,P,nd,0.162,nd,0.092,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-108,Eel-BUG EXT 3 ,7/2/2024,P,nd,0.172,nd,0.098,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-109,Eel-3UP,7/2/2024,P,nd,0.181,nd,0.103,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-110,Eel-2UP,7/2/2024,P,nd,0.175,nd,0.1,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-111,Eel-4S,7/17/2024,P,nd,0.173,nd,0.099,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-112,Eel-4S EXT 2 ,7/17/2024,P,0.071,0.18,nd,0.103,nd,0.05,nd,0.071,nd,nd,0.071,,,,,,
25-113,Eel-4S EXT 3 ,7/17/2024,P,0.088,0.157,nd,0.09,nd,0.05,nd,0.088,*,nd,nd,,,,,,
25-114,Eel-BUG ,7/17/2024,P,nd,0.183,nd,0.104,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-115,Eel-3UP,7/17/2024,P,nd,0.18,nd,0.103,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-116,Eel-2UP,7/17/2024,P,nd,0.159,nd,0.091,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-117,Eel-4S,10/10/2024,P,nd,0.175,nd,0.1,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-118,Town -5,10/15/2024,P,nd,0.299,nd,0.171,nd,0.09,nd,nd,nd,nd,nd,,,,,,
25-119,Jones -4,10/15/2024,P,12.085,0.167,nd,0.096,nd,0.05,10.221,1.43,0.389,0.045,12.085,,,,,,
25-120,Kid-Down ,10/17/2024,P,0.592,0.166,nd,0.095,nd,0.05,nd,0.592,nd,nd,0.592,,,,,,
25-121,Etna,10/16/2024,P,nd,0.283,nd,0.162,nd,0.08,nd,nd,nd,nd,nd,,,,,,
25-122,Black -2,10/16/2024,P,0.215,0.176,nd,0.1,nd,0.05,nd,0.215,nd,nd,0.215,,,,,,
25-123,Red-1,10/16/2024,P,nd,0.173,nd,0.099,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-124,Canyon ,10/15/2024,P,nd,0.163,nd,0.093,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-125,Blackwood Upper -R1,7/23/2024,P,nd,0.163,nd,0.093,0.55*,0.05,nd,nd,nd,nd,nd,,,,,,
25-126,Blackwood Upper -R2,7/23/2024,P,nd,0.172,nd,0.098,5.07**,0.05,nd,nd,nd,nd,nd,,,,,,
25-127,Blackwood Upper -R3,7/23/2024,P,nd,0.189,nd,0.108,1.39*,0.06,nd,nd,nd,nd,nd,,,,,,
25-128,Eel-4S,9/27/2024,P,nd,0.156,nd,0.089,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-129,Eel-4S,6/19/2024,P,nd,4.581,nd,2.617,nd,1.37,nd,nd,nd,nd,nd,,,,,,
25-130,Eel-2Up,6/19/2024,P,nd,2.493,nd,1.424,nd,0.74,nd,nd,nd,nd,nd,,,,,,
25-131,BLANK 4 ,N/A,W,nd,3.39,nd,1.937,nd,1.01,nd,nd,nd,nd,nd,,,,,,
25-049,Eel-BUG Var Reps ATX 1 ,8/14/2024,NA,NA,NA,NA,NA,NA,NA,nd,0.217,nd,nd,0.217,,,,,,
25-050,Eel-BUG Var Reps ATX 2 ,8/14/2024,NA,NA,NA,NA,NA,NA,NA,2.295,0.614,nd,nd,2.908,,,,,,
25-051,Eel-BUG Var Reps ATX 3 ,8/14/2024,NA,NA,NA,NA,NA,NA,NA,nd,0.093,*,nd,nd,,,,,,
25-052,Eel-BUG Var Reps ATX 4 ,8/14/2024,NA,NA,NA,NA,NA,NA,NA,nd,nd,nd,nd,nd,,,,,,
25-053,Eel-BUG Var Reps ATX 5 ,8/14/2024,NA,NA,NA,NA,NA,NA,NA,1.302,0.254,nd,nd,1.556,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
